placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
111,86,2024-02-14,5,2,2023-2024,Coop/São José Basketball,União Corinthians,77.2,22.2,43.4,11.6,38.5,10.4,28.1,17.4,14.2,1.3079999999999998,7.4,22.0,33.754000000000005,21.7,41.8,52.33699999999999,11.6,18.1,63.678999999999995,1.9,6.0,0.437,1.8,20.6,0.09100000000000001,14.2,3.2,85.5,72.55,24.9,35.1,12.55,33.85,9.8,24.05,17.65,13.6,1.37,8.3,27.55,29.985000000000003,17.55,35.7,48.849999999999994,12.55,18.4,67.02799999999999,0.4,6.75,0.5349999999999999,1.9,21.95,0.094,13.6,2.75,75.85
81,74,2024-02-14,5,2,2023-2024,Mogi,Caxias do Sul Basquete,71.8,27.0,33.6,11.2,32.0,8.4,23.6,16.6,12.2,1.427,9.0,28.0,31.89699999999999,16.8,33.3,50.397999999999996,11.2,15.5,73.742,0.4,6.0,0.518,1.2,21.2,0.05900000000000001,12.2,2.1,75.6,73.2,21.9,34.5,16.8,35.1,10.75,24.35,15.7,15.9,0.9969999999999999,7.3,25.5,28.444,17.25,34.55,50.242,16.8,23.85,69.79599999999999,1.95,7.3,0.46299999999999997,2.4,22.75,0.10700000000000001,15.9,3.3,75.25
84,75,2024-02-14,5,2,2023-2024,Fortaleza B. C. / CFO,Botafogo,80.3,17.1,44.6,18.6,39.0,9.0,30.0,13.5,15.3,0.9339999999999999,5.7,20.8,26.461000000000002,22.3,37.3,59.622000000000014,18.6,25.3,73.908,2.1,6.3,0.44800000000000006,1.7,20.7,0.08200000000000003,15.3,2.3,88.7,78.801,28.2,36.601000000000006,14.0,33.4,8.899,24.500999999999998,17.399,12.5,1.439,9.4,26.7,35.033,18.299,36.70100000000001,49.431000000000004,14.0,20.3,69.93100000000001,0.8009999999999999,6.598999999999999,0.5279999999999999,1.6,20.7,0.07700000000000003,12.5,2.9,83.3
83,86,2024-02-15,5,2,2023-2024,Cerrado,Flamengo,75.4,26.1,37.0,12.3,34.8,10.4,24.4,13.7,13.7,1.008,8.7,24.0,36.136,18.5,38.1,48.89,12.3,17.7,67.736,1.0,8.6,0.6270000000000001,1.5,17.1,0.092,13.7,3.2,80.0,89.599,31.8,40.0,17.799,39.101000000000006,10.801,28.3,22.399,13.001,1.7619999999999998,10.601,27.001000000000005,39.339,20.0,37.199,53.599000000000004,17.799,23.6,76.37699999999998,1.299,7.398999999999999,0.587,1.6990000000000003,18.499000000000002,0.097,13.001,2.4,107.799
86,94,2024-02-15,5,2,2023-2024,Minas,São Paulo,90.699,31.8,41.998999999999995,16.9,43.7,11.299,32.401,21.999000000000002,13.6,1.738,10.601,27.000999999999998,39.089,21.000999999999998,35.5,59.52599999999999,16.9,23.101,73.195,2.4,6.101000000000001,0.47000000000000003,2.7010000000000005,18.401,0.159,13.6,2.5,114.5,79.3,26.4,38.2,14.7,35.6,8.7,26.9,16.9,12.9,1.3259999999999998,8.8,27.7,31.886999999999993,19.1,32.4,58.64999999999999,14.7,19.8,73.795,1.1,6.2,0.492,2.6,17.5,0.14999999999999997,12.9,1.6,90.4
89,79,2024-02-15,5,2,2023-2024,Bauru Basket,Pato Basquete,82.5,26.1,42.2,14.2,36.1,10.8,25.3,19.2,11.2,1.7559999999999998,8.7,27.7,31.404000000000003,21.1,39.1,54.01899999999999,14.2,17.9,79.46600000000001,2.2,8.0,0.7170000000000002,1.9,20.3,0.094,11.2,1.8,95.8,80.699,29.1,39.498999999999995,12.1,38.05,11.95,26.1,16.399,10.3,1.6799999999999997,9.699,29.749000000000002,32.705,19.750999999999998,35.748999999999995,55.22499999999999,12.1,16.899,72.33500000000001,1.449,4.251,0.41100000000000003,1.199,19.101,0.06300000000000001,10.3,1.499,89.451
80,51,2024-02-16,5,2,2023-2024,Paulistano,Pinheiros,75.85,22.2,39.9,13.75,38.65,11.4,27.25,16.95,14.3,1.2560000000000002,7.4,25.35,28.648000000000003,19.95,38.7,51.355000000000004,13.75,19.35,70.91999999999999,1.95,9.0,0.6639999999999999,1.8,21.75,0.087,14.3,3.35,85.65,77.866,26.45,37.434000000000005,13.984,38.9,11.416,27.484,19.416,12.866,1.746,8.815999999999999,25.15,36.025000000000006,18.716,37.565999999999995,49.717,13.984,18.634,74.902,1.184,4.5,0.3750000000000001,2.734,19.9,0.13400000000000004,12.866,2.316,90.716
82,68,2024-02-16,5,2,2023-2024,Coop/São José Basketball,Caxias do Sul Basquete,80.0,24.0,43.6,12.4,37.55,9.75,27.8,17.45,14.1,1.325,8.0,22.3,35.909000000000006,21.8,40.8,53.895,12.4,18.5,66.51699999999998,2.05,6.05,0.44699999999999995,1.8,20.8,0.09100000000000003,14.1,3.4,89.35,72.7,20.55,35.1,17.05,34.65,10.4,24.25,15.25,16.0,0.9560000000000001,6.85,24.95,26.965999999999998,17.55,34.65,50.855000000000004,17.05,23.8,71.08399999999999,1.8,7.35,0.46399999999999997,2.5,22.45,0.11399999999999999,16.0,3.3,74.5
96,66,2024-02-16,5,2,2023-2024,UNIFACISA,Botafogo,88.3,37.8,37.0,13.5,35.5,9.3,26.2,18.6,12.8,1.486,12.6,33.0,37.619,18.5,32.4,57.31299999999999,13.5,18.0,73.57399999999998,0.4,8.1,0.642,2.1,17.1,0.13200000000000003,12.8,2.2,101.0,77.001,27.15,36.101000000000006,13.75,33.55,8.699,24.851,17.149,13.1,1.363,9.05,26.5,34.031,18.049,36.401,49.196000000000005,13.75,20.4,68.06900000000002,0.851,6.598999999999999,0.5050000000000001,1.65,20.85,0.079,13.1,3.05,80.4
80,94,2024-02-16,5,2,2023-2024,Mogi,União Corinthians,72.55,28.05,33.2,11.3,32.65,9.65,23.0,16.2,11.75,1.4380000000000002,9.35,27.8,33.435,16.6,34.75,47.775999999999996,11.3,16.05,71.53800000000001,0.55,6.1,0.546,1.2,21.65,0.05800000000000001,11.75,2.15,75.6,74.2,25.35,36.1,12.75,33.45,9.25,24.2,18.05,14.2,1.3320000000000003,8.45,27.0,31.309000000000005,18.05,35.2,51.11,12.75,18.7,66.90900000000002,0.45,6.45,0.491,2.05,22.2,0.099,14.2,2.8,78.35
82,90,2024-02-17,5,2,2023-2024,São Paulo,Corinthians,80.8,27.6,38.3,14.9,35.85,8.6,27.25,16.85,13.0,1.3099999999999998,9.2,28.0,32.873,19.15,32.55,58.549,14.9,19.5,76.866,1.0,6.1,0.48,2.5,18.3,0.141,13.0,1.5,92.3,76.9,27.15,36.2,13.55,36.3,10.05,26.25,17.35,11.8,1.5270000000000004,9.05,27.35,33.38,18.1,35.1,51.376999999999995,13.55,19.1,69.917,1.6,6.4,0.57,2.6,19.4,0.13499999999999998,11.8,1.35,86.9
74,86,2024-02-17,5,2,2023-2024,BRB/Brasília,Flamengo,69.1,23.4,36.0,9.7,31.9,9.1,22.8,13.3,13.6,0.992,7.8,25.6,30.451,18.0,38.0,47.788,9.7,14.3,66.231,1.5,6.6,0.4880000000000001,1.6,19.2,0.07999999999999999,13.6,2.0,66.5,89.049,31.05,40.8,17.199,39.651,10.901,28.75,22.599,13.100999999999999,1.763,10.351,27.551,37.628,20.4,37.04899999999999,55.0,17.199,22.85,76.044,1.549,6.949,0.5399999999999999,1.7990000000000002,18.549,0.10400000000000001,13.100999999999999,2.3,107.449
76,81,2024-02-17,5,2,2023-2024,Bauru Basket,R10 Score Vasco da Gama,81.75,25.2,41.9,14.65,36.35,10.65,25.7,18.85,11.2,1.7169999999999999,8.4,27.5,30.681,20.95,39.25,53.419,14.65,18.55,79.04199999999999,2.05,8.05,0.7220000000000002,2.35,20.4,0.119,11.2,1.85,94.85,79.45,28.65,36.9,13.9,35.05,9.3,25.75,20.4,14.0,1.5370000000000001,9.55,28.25,33.857,18.45,32.1,57.364,13.9,18.05,77.49100000000001,1.5,6.3,0.466,3.0,21.8,0.139,14.0,3.3,93.7
