Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
8-1,2008-2009,0.72,-,0.72,-
8-1,2009-2010,0.66,-,0.66,-
8-1,2011-2012,0.69,-,0.69,-
8-1,2012-2013,0.63,-,0.63,-
8-1,2013-2014,0.57,-,0.57,-
8-1,2014-2015,0.62,-,0.62,-
8-1,2015-2016,0.59,-,0.59,-
8-1,2016-2017,0.59,-,0.59,-
8-1,2018-2019,0.60,-,0.60,-
8-1,2019-2020,0.53,-,0.53,-
8-1,2020-2021,0.67,-,0.67,-
8-1,2021-2022,0.63,-,0.63,-
8-1,2022-2023,0.61,-,0.61,-
8-1,2023-2024,0.64,-,0.64,-
8-1,-,0.62,0.05,0.62,0.05
8-2,2008-2009,0.72,-,0.70,-
8-2,2009-2010,0.66,-,0.63,-
8-2,2011-2012,0.69,-,0.67,-
8-2,2012-2013,0.64,-,0.62,-
8-2,2013-2014,0.57,-,0.54,-
8-2,2014-2015,0.63,-,0.62,-
8-2,2015-2016,0.59,-,0.57,-
8-2,2016-2017,0.59,-,0.57,-
8-2,2018-2019,0.60,-,0.58,-
8-2,2019-2020,0.54,-,0.52,-
8-2,2020-2021,0.67,-,0.66,-
8-2,2021-2022,0.63,-,0.61,-
8-2,2022-2023,0.61,-,0.58,-
8-2,2023-2024,0.64,-,0.62,-
8-2,-,0.63,0.05,0.61,0.05
8-3,2008-2009,0.70,-,0.68,-
8-3,2009-2010,0.67,-,0.62,-
8-3,2011-2012,0.70,-,0.68,-
8-3,2012-2013,0.64,-,0.61,-
8-3,2013-2014,0.57,-,0.55,-
8-3,2014-2015,0.62,-,0.60,-
8-3,2015-2016,0.59,-,0.56,-
8-3,2016-2017,0.58,-,0.55,-
8-3,2018-2019,0.61,-,0.57,-
8-3,2019-2020,0.55,-,0.52,-
8-3,2020-2021,0.67,-,0.64,-
8-3,2021-2022,0.63,-,0.60,-
8-3,2022-2023,0.61,-,0.57,-
8-3,2023-2024,0.63,-,0.61,-
8-3,-,0.63,0.04,0.60,0.05
8-4,2008-2009,0.70,-,0.67,-
8-4,2009-2010,0.67,-,0.62,-
8-4,2011-2012,0.70,-,0.67,-
8-4,2012-2013,0.64,-,0.61,-
8-4,2013-2014,0.57,-,0.55,-
8-4,2014-2015,0.62,-,0.60,-
8-4,2015-2016,0.60,-,0.56,-
8-4,2016-2017,0.58,-,0.55,-
8-4,2018-2019,0.61,-,0.57,-
8-4,2019-2020,0.55,-,0.53,-
8-4,2020-2021,0.67,-,0.65,-
8-4,2021-2022,0.63,-,0.59,-
8-4,2022-2023,0.61,-,0.57,-
8-4,2023-2024,0.63,-,0.60,-
8-4,-,0.63,0.04,0.60,0.04
